node	parent-node	root-dist	FN	FP	TN	TP	precision	recall	f1-score	support
Africa	root	1	81	56	424	18	0.24324324324324326	0.18181818181818182	0.20809248554913296	99
Americas	root	1	87	39	441	12	0.23529411764705882	0.12121212121212122	0.16	99
Asia	root	1	123	159	175	122	0.43416370106761565	0.49795918367346936	0.46387832699619774	245
Europe	root	1	77	114	329	59	0.34104046242774566	0.4338235294117647	0.3818770226537217	136
Northern Africa	Africa	2	19	7	10	63	0.9	0.7682926829268293	0.8289473684210527	82
Sub-Saharan Africa	Africa	2	7	19	63	10	0.3448275862068966	0.5882352941176471	0.4347826086956522	17
Latin America and the Caribbean	Americas	2	12	4	0	83	0.9540229885057471	0.8736842105263158	0.9120879120879121	95
Northern America	Americas	2	4	12	83	0	0.0	0.0	0.0	4
Eastern Asia	Asia	2	11	1	233	0	0.0	0.0	0.0	11
South-eastern Asia	Asia	2	14	48	149	34	0.4146341463414634	0.7083333333333334	0.523076923076923	48
Southern Asia	Asia	2	19	21	204	1	0.045454545454545456	0.05	0.04761904761904762	20
Western Asia	Asia	2	44	18	61	122	0.8714285714285714	0.7349397590361446	0.7973856209150327	166
Eastern Europe	Europe	2	20	45	58	13	0.22413793103448276	0.3939393939393939	0.2857142857142857	33
Southern Europe	Europe	2	45	22	14	55	0.7142857142857143	0.55	0.6214689265536724	100
Western Europe	Europe	2	3	1	132	0	0.0	0.0	0.0	3
Bulgaria	Eastern Europe	3	7	7	18	1	0.125	0.125	0.125	8
Czech republic	Eastern Europe	3	2	4	27	0	0.0	0.0	0.0	2
Hungary	Eastern Europe	3	3	6	22	2	0.25	0.4	0.3076923076923077	5
Poland	Eastern Europe	3	11	3	15	4	0.5714285714285714	0.26666666666666666	0.36363636363636365	15
Russian federation	Eastern Europe	3	2	5	25	1	0.16666666666666666	0.3333333333333333	0.2222222222222222	3
Barbados	Latin America and the Caribbean	3	3	2	90	0	0.0	0.0	0.0	3
Cuba	Latin America and the Caribbean	3	24	18	41	12	0.4	0.3333333333333333	0.3636363636363636	36
Dominica	Latin America and the Caribbean	3	3	7	85	0	0.0	0.0	0.0	3
Dominican republic	Latin America and the Caribbean	3	15	19	51	10	0.3448275862068966	0.4	0.3703703703703704	25
Jamaica	Latin America and the Caribbean	3	2	4	84	5	0.5555555555555556	0.7142857142857143	0.6250000000000001	7
Mexico	Latin America and the Caribbean	3	10	7	67	11	0.6111111111111112	0.5238095238095238	0.5641025641025642	21
Egypt	Northern Africa	3	16	10	12	44	0.8148148148148148	0.7333333333333333	0.7719298245614035	60
Morocco	Northern Africa	3	9	14	57	2	0.125	0.18181818181818182	0.14814814814814814	11
Tunisia	Northern Africa	3	7	8	63	4	0.3333333333333333	0.36363636363636365	0.34782608695652173	11
Indonesia	South-eastern Asia	3	10	6	29	3	0.3333333333333333	0.23076923076923078	0.27272727272727276	13
Malaysia	South-eastern Asia	3	6	3	38	1	0.25	0.14285714285714285	0.18181818181818182	7
Singapore	South-eastern Asia	3	2	11	31	4	0.26666666666666666	0.6666666666666666	0.3809523809523809	6
Thailand	South-eastern Asia	3	6	5	25	12	0.7058823529411765	0.6666666666666666	0.6857142857142857	18
Vietnam	South-eastern Asia	3	3	2	42	1	0.3333333333333333	0.25	0.28571428571428575	4
India	Southern Asia	3	5	0	7	8	1.0	0.6153846153846154	0.761904761904762	13
Pakistan	Southern Asia	3	1	6	12	1	0.14285714285714285	0.5	0.22222222222222224	2
Sri lanka	Southern Asia	3	2	2	13	3	0.6	0.6	0.6	5
Greece	Southern Europe	3	10	10	76	4	0.2857142857142857	0.2857142857142857	0.2857142857142857	14
Italy	Southern Europe	3	2	17	80	1	0.05555555555555555	0.3333333333333333	0.09523809523809525	3
Malta	Southern Europe	3	6	13	80	1	0.07142857142857142	0.14285714285714285	0.09523809523809523	7
Portugal	Southern Europe	3	4	10	83	3	0.23076923076923078	0.42857142857142855	0.3	7
Spain	Southern Europe	3	37	9	22	32	0.7804878048780488	0.463768115942029	0.5818181818181818	69
Cape verde	Sub-Saharan Africa	3	1	3	9	4	0.5714285714285714	0.8	0.6666666666666666	5
Kenya	Sub-Saharan Africa	3	3	2	8	4	0.6666666666666666	0.5714285714285714	0.6153846153846153	7
South africa	Sub-Saharan Africa	3	2	0	15	0	0.0	0.0	0.0	2
Tanzania	Sub-Saharan Africa	3	1	2	12	2	0.5	0.6666666666666666	0.5714285714285715	3
Cyprus	Western Asia	3	5	33	127	1	0.029411764705882353	0.16666666666666666	0.05	6
Saudi arabia	Western Asia	3	6	10	150	0	0.0	0.0	0.0	6
Turkey	Western Asia	3	62	9	19	76	0.8941176470588236	0.5507246376811594	0.6816143497757847	138
United Arab Emirates	Western Asia	3	7	28	122	9	0.24324324324324326	0.5625	0.339622641509434	16
