node	model-type	root-dist	FN	FP	TN	TP	precision	recall	microF1	acc	bal-acc	cohens-kappa	macroP	macroR	macroF1	weightedP	weightedR	weightedF1	support
root	RandomForestClassifier	0	368	368	1369	211	0.3644214162348877	0.3644214162348877	0.3644214162348877	0.3644214162348877	0.30870325402888427	0.07558147102081192	0.31343538109641583	0.30870325402888427	0.3034619587997631	0.3456421560965098	0.3644214162348877	0.34892335278814984	579
Africa	RandomForestClassifier	1	26	26	73	73	0.7373737373737373	0.7373737373737373	0.7373737373737375	0.7373737373737373	0.6782639885222381	0.2785874439461884	0.6224137931034484	0.6782639885222381	0.6318649885583525	0.8046673632880529	0.7373737373737373	0.7612625106904284	99
Americas	RandomForestClassifier	1	16	16	83	83	0.8383838383838383	0.8383838383838383	0.8383838383838383	0.8383838383838383	0.4368421052631579	-0.06451612903225801	0.47701149425287354	0.4368421052631579	0.45604395604395603	0.9154766051317775	0.8383838383838383	0.8752358752358752	99
Asia	RandomForestClassifier	1	88	88	647	157	0.6408163265306123	0.6408163265306123	0.6408163265306123	0.6408163265306123	0.37331827309236953	0.3345268226433731	0.33287931580614505	0.37331827309236953	0.34202039790275085	0.6753823379209144	0.6408163265306123	0.6466370870692599	245
Europe	RandomForestClassifier	1	68	68	204	68	0.5	0.5	0.5	0.5	0.3146464646464647	-0.041558734091676985	0.312807881773399	0.3146464646464647	0.30239440408931934	0.5795964937699218	0.5	0.5262901770877844	136
Eastern Europe	RandomForestClassifier	2	25	25	107	8	0.24242424242424243	0.24242424242424243	0.24242424242424243	0.24242424242424243	0.225	0.033957845433255196	0.22261904761904763	0.225	0.2037101787101787	0.3430735930735931	0.24242424242424243	0.2624143533234442	33
Latin America and the Caribbean	RandomForestClassifier	2	57	57	418	38	0.4	0.4	0.4000000000000001	0.4	0.32857142857142857	0.19801540284360197	0.3185823754789272	0.32857142857142857	0.3205182163515497	0.4183464408146804	0.4	0.40601391785602314	95
Northern Africa	RandomForestClassifier	2	32	32	132	50	0.6097560975609756	0.6097560975609756	0.6097560975609756	0.6097560975609756	0.4262626262626263	0.17380352644836272	0.4243827160493827	0.4262626262626263	0.4226346865553578	0.6576897018970189	0.6097560975609756	0.6313598299979948	82
South-eastern Asia	RandomForestClassifier	2	27	27	165	21	0.4375	0.4375	0.4375	0.4375	0.39139194139194133	0.2598515134209024	0.37784313725490193	0.39139194139194133	0.3613852813852814	0.4525531045751634	0.4375	0.4289502164502164	48
Southern Asia	RandomForestClassifier	2	8	8	32	12	0.6	0.6	0.6	0.6	0.5717948717948719	0.377431906614786	0.580952380952381	0.5717948717948719	0.5280423280423281	0.8142857142857143	0.6	0.6674603174603175	20
Southern Europe	RandomForestClassifier	2	59	59	341	41	0.41	0.41	0.41	0.41	0.3308488612836439	0.12358882947118233	0.28479108966913846	0.3308488612836439	0.27160173160173157	0.6013570981863665	0.41	0.47197835497835494	100
Sub-Saharan Africa	RandomForestClassifier	2	7	7	44	10	0.5882352941176471	0.5882352941176471	0.5882352941176471	0.5882352941176471	0.5095238095238095	0.405	0.43452380952380953	0.5095238095238095	0.4633699633699634	0.5308123249299719	0.5882352941176471	0.5503124326653738	17
Western Asia	RandomForestClassifier	2	80	80	418	86	0.5180722891566265	0.5180722891566265	0.5180722891566265	0.5180722891566265	0.31997282608695654	0.11289245156980621	0.2916931637519873	0.31997282608695654	0.26780924782130466	0.7678108299653302	0.5180722891566265	0.6011851959831882	166
