node	root-dist	hP	hR	hF1	n	nP	nT
Africa	1	0.5989847715736041	0.3959731543624161	0.4767676767676768	298	143	298
Americas	1	0.634703196347032	0.4711864406779661	0.5408560311284047	295	174	295
Asia	1	0.6020761245674741	0.47606019151846785	0.53170359052712	731	449	731
Eastern Asia	2	0.7619047619047619	0.7619047619047619	0.7619047619047619	31	26	31
China	3	0.7582417582417582	0.7340425531914894	0.745945945945946	31	26	31
Europe	1	0.5850746268656717	0.47804878048780486	0.5261744966442953	410	299	410
Eastern Europe	2	0.5538461538461539	0.6457399103139013	0.596273291925466	101	120	101
Bulgaria	3	0.6753246753246753	0.7027027027027027	0.6887417218543046	24	23	24
Czech republic	3	0.2912621359223301	0.9375	0.4444444444444445	8	34	8
Hungary	3	0.5833333333333334	0.5	0.5384615384615384	14	12	14
Latin America and the Caribbean	2	0.7158469945355191	0.4645390070921986	0.5634408602150538	282	146	282
Barbados	3	1.0	0.42857142857142855	0.6	7	3	7
Cuba	3	0.6232876712328768	0.27492447129909364	0.38155136268343814	107	25	107
Dominica	3	0.8333333333333334	0.7352941176470589	0.78125	10	10	10
Dominican republic	3	0.7022900763358778	0.4052863436123348	0.5139664804469274	73	25	73
Jamaica	3	0.8181818181818182	0.7142857142857143	0.7627118644067797	21	18	21
Mexico	3	0.7543859649122807	0.6515151515151515	0.6991869918699187	64	45	64
Northern Africa	2	0.5745454545454546	0.3224489795918367	0.4130718954248366	245	84	245
Egypt	3	0.4043478260869565	0.17222222222222222	0.24155844155844158	180	26	180
Morocco	3	0.7640449438202247	0.6181818181818182	0.6834170854271356	34	27	34
Northern America	2	0.26666666666666666	0.6153846153846154	0.37209302325581395	13	28	13
Poland	3	0.7058823529411765	0.425531914893617	0.5309734513274337	46	16	46
Russian federation	3	0.5555555555555556	0.8064516129032258	0.6578947368421053	9	15	9
South-eastern Asia	2	0.6290322580645161	0.7548387096774194	0.686217008797654	143	180	143
Indonesia	3	0.8717948717948718	0.5811965811965812	0.6974358974358974	38	20	38
Malaysia	3	0.6388888888888888	0.6865671641791045	0.6618705035971223	22	22	22
Singapore	3	0.9056603773584906	0.8727272727272727	0.8888888888888888	17	17	17
Southern Asia	2	0.6940298507462687	0.75	0.7209302325581396	59	61	59
India	3	0.7816091954022989	0.5862068965517241	0.6699507389162561	38	21	38
Pakistan	3	0.6875	0.8148148148148148	0.7457627118644067	8	10	8
Southern Europe	2	0.5910364145658263	0.34991708126036486	0.4395833333333334	300	119	300
Greece	3	0.7131147540983607	0.6492537313432836	0.6796875	41	37	41
Italy	3	0.6785714285714286	0.6333333333333333	0.6551724137931035	10	9	10
Malta	3	0.7846153846153846	0.8095238095238095	0.7968749999999999	21	20	21
Portugal	3	0.7285714285714285	0.7611940298507462	0.7445255474452556	21	22	21
Spain	3	0.44221105527638194	0.14170692431561996	0.21463414634146344	207	13	207
Sri lanka	3	0.5384615384615384	0.9545454545454546	0.6885245901639344	13	25	13
Sub-Saharan Africa	2	0.6610169491525424	0.7090909090909091	0.6842105263157895	53	59	53
Cape verde	3	0.9565217391304348	0.5238095238095238	0.6769230769230768	14	6	14
Kenya	3	0.6901408450704225	0.7101449275362319	0.7	22	20	22
South africa	3	0.85	0.7083333333333334	0.7727272727272727	8	6	8
Tanzania	3	0.6111111111111112	0.7096774193548387	0.6567164179104478	9	12	9
Thailand	3	0.7388535031847133	0.6705202312138728	0.703030303030303	55	38	55
Tunisia	3	0.9047619047619048	0.7835051546391752	0.839779005524862	31	27	31
United states	3	0.26666666666666666	0.6153846153846154	0.37209302325581395	13	28	13
Vietnam	3	0.8611111111111112	0.8378378378378378	0.8493150684931507	11	12	11
Western Asia	2	0.5361552028218695	0.3049147442326981	0.38874680306905374	498	145	498
Cyprus	3	0.7878787878787878	0.7428571428571429	0.7647058823529412	18	21	18
Saudi arabia	3	0.7272727272727273	0.8	0.761904761904762	17	22	17
Turkey	3	0.37906137184115524	0.16908212560386474	0.23385300668151446	414	37	414
United Arab Emirates	3	0.8218390804597702	0.8265895953757225	0.824207492795389	49	53	49
Western Europe	2	0.8823529411764706	0.8333333333333334	0.8571428571428571	9	8	9
France	3	0.88	0.8148148148148148	0.8461538461538461	9	8	9
