node	parent-node	root-dist	FN	FP	TN	TP	precision	recall	f1-score	support
Africa	root	1	14	25	455	85	0.7727272727272727	0.8585858585858586	0.8133971291866028	99
Americas	root	1	6	2	478	93	0.9789473684210527	0.9393939393939394	0.9587628865979383	99
Asia	root	1	23	11	323	222	0.9527896995708155	0.9061224489795918	0.9288702928870294	245
Europe	root	1	26	31	412	110	0.7801418439716312	0.8088235294117647	0.7942238267148015	136
Northern Africa	Africa	2	1	2	15	81	0.9759036144578314	0.9878048780487805	0.9818181818181818	82
Sub-Saharan Africa	Africa	2	2	1	81	15	0.9375	0.8823529411764706	0.9090909090909091	17
Latin America and the Caribbean	Americas	2	1	3	1	94	0.9690721649484536	0.9894736842105263	0.9791666666666666	95
Northern America	Americas	2	3	1	94	1	0.5	0.25	0.3333333333333333	4
Eastern Asia	Asia	2	5	3	231	6	0.6666666666666666	0.5454545454545454	0.6	11
South-eastern Asia	Asia	2	5	4	193	43	0.9148936170212766	0.8958333333333334	0.9052631578947369	48
Southern Asia	Asia	2	6	4	221	14	0.7777777777777778	0.7	0.7368421052631577	20
Western Asia	Asia	2	6	11	68	160	0.935672514619883	0.963855421686747	0.9495548961424332	166
Eastern Europe	Europe	2	8	8	95	25	0.7575757575757576	0.7575757575757576	0.7575757575757576	33
Southern Europe	Europe	2	8	10	26	92	0.9019607843137255	0.92	0.9108910891089109	100
Western Europe	Europe	2	3	1	132	0	0.0	0.0	0.0	3
Bulgaria	Eastern Europe	3	6	2	23	2	0.5	0.25	0.3333333333333333	8
Czech republic	Eastern Europe	3	2	3	28	0	0.0	0.0	0.0	2
Hungary	Eastern Europe	3	4	5	23	1	0.16666666666666666	0.2	0.1818181818181818	5
Poland	Eastern Europe	3	6	7	11	9	0.5625	0.6	0.5806451612903225	15
Russian federation	Eastern Europe	3	0	1	29	3	0.75	1.0	0.8571428571428571	3
Barbados	Latin America and the Caribbean	3	0	1	91	3	0.75	1.0	0.8571428571428571	3
Cuba	Latin America and the Caribbean	3	0	0	59	36	1.0	1.0	1.0	36
Dominica	Latin America and the Caribbean	3	3	3	89	0	0.0	0.0	0.0	3
Dominican republic	Latin America and the Caribbean	3	5	3	67	20	0.8695652173913043	0.8	0.8333333333333333	25
Jamaica	Latin America and the Caribbean	3	0	0	88	7	1.0	1.0	1.0	7
Mexico	Latin America and the Caribbean	3	1	2	72	20	0.9090909090909091	0.9523809523809523	0.9302325581395349	21
Egypt	Northern Africa	3	1	0	22	59	1.0	0.9833333333333333	0.9915966386554621	60
Morocco	Northern Africa	3	0	0	71	11	1.0	1.0	1.0	11
Tunisia	Northern Africa	3	0	1	70	11	0.9166666666666666	1.0	0.9565217391304348	11
Indonesia	South-eastern Asia	3	4	8	27	9	0.5294117647058824	0.6923076923076923	0.5999999999999999	13
Malaysia	South-eastern Asia	3	3	5	36	4	0.4444444444444444	0.5714285714285714	0.5	7
Singapore	South-eastern Asia	3	6	6	36	0	0.0	0.0	0.0	6
Thailand	South-eastern Asia	3	6	1	29	12	0.9230769230769231	0.6666666666666666	0.7741935483870968	18
Vietnam	South-eastern Asia	3	2	1	43	2	0.6666666666666666	0.5	0.5714285714285715	4
India	Southern Asia	3	7	1	6	6	0.8571428571428571	0.46153846153846156	0.6	13
Pakistan	Southern Asia	3	1	2	16	1	0.3333333333333333	0.5	0.4	2
Sri lanka	Southern Asia	3	1	6	9	4	0.4	0.8	0.5333333333333333	5
Greece	Southern Europe	3	5	3	83	9	0.75	0.6428571428571429	0.6923076923076924	14
Italy	Southern Europe	3	3	1	96	0	0.0	0.0	0.0	3
Malta	Southern Europe	3	1	0	93	6	1.0	0.8571428571428571	0.923076923076923	7
Portugal	Southern Europe	3	4	9	84	3	0.25	0.42857142857142855	0.3157894736842105	7
Spain	Southern Europe	3	11	11	20	58	0.8405797101449275	0.8405797101449275	0.8405797101449275	69
Cape verde	Sub-Saharan Africa	3	1	0	12	4	1.0	0.8	0.888888888888889	5
Kenya	Sub-Saharan Africa	3	2	3	7	5	0.625	0.7142857142857143	0.6666666666666666	7
South africa	Sub-Saharan Africa	3	1	0	15	1	1.0	0.5	0.6666666666666666	2
Tanzania	Sub-Saharan Africa	3	1	2	12	2	0.5	0.6666666666666666	0.5714285714285715	3
Cyprus	Western Asia	3	3	1	159	3	0.75	0.5	0.6	6
Saudi arabia	Western Asia	3	1	3	157	5	0.625	0.8333333333333334	0.7142857142857143	6
Turkey	Western Asia	3	12	2	26	126	0.984375	0.9130434782608695	0.9473684210526315	138
United Arab Emirates	Western Asia	3	2	12	138	14	0.5384615384615384	0.875	0.6666666666666667	16
