pattern_id	SRR7777165	SRR7777155
1	1	0
2	1	1
3	1	1
4	1	0
5	1	1
6	1	0
7	1	1
8	1	1
12	0	0
13	1	1
14	1	1
15	1	1
16	0	0
17	0	0
18	1	0
19	1	1
20	1	1
21	1	1
22	1	0
23	1	0
25	1	1
26	1	1
27	0	0
28	1	1
29	1	1
30	0	0
31	0	0
32	1	1
34	1	1
35	1	1
36	1	0
37	0	0
38	1	0
39	1	1
40	1	1
43	1	1
44	1	1
45	1	1
46	1	1
47	1	1
48	1	1
49	1	1
50	1	1
51	1	1
52	1	1
53	1	1
54	1	1
55	1	1
56	0	0
57	1	1
58	1	1
59	1	1
60	1	1
61	1	1
62	1	1
63	1	1
64	1	1
65	1	1
66	1	1
67	1	1
68	1	1
69	1	1
70	1	1
71	1	0
73	1	1
74	1	1
75	1	1
76	1	1
77	1	1
78	1	1
79	1	1
80	1	1
81	1	1
82	0	0
84	1	1
90	1	1
91	1	1
92	1	1
93	1	1
94	1	1
97	1	1
98	1	1
99	1	1
101	1	0
102	1	0
107	1	1
108	1	1
109	1	1
110	1	1
114	1	1
115	1	1
117	1	1
120	1	1
123	1	1
124	1	0
125	1	1
128	1	1
129	1	1
130	1	1
131	1	1
132	1	1
133	1	1
134	1	1
137	1	1
139	1	1
140	1	1
141	1	1
142	1	1
143	1	1
144	1	1
145	1	1
146	1	1
147	1	1
148	1	1
149	1	1
150	0	0
151	1	1
152	1	1
153	1	1
154	1	1
155	1	1
156	1	1
158	1	1
159	1	1
162	1	1
163	1	1
164	1	1
165	1	1
166	1	1
168	1	1
169	1	1
171	1	1
172	1	1
173	1	1
175	1	1
176	1	1
177	1	1
178	1	1
179	1	1
183	1	1
184	1	1
185	0	0
186	0	0
187	1	1
188	1	1
189	1	1
190	1	1
191	1	1
192	1	1
193	1	1
194	1	1
195	1	1
196	1	1
197	1	1
198	1	1
199	1	1
200	1	1
201	1	1
203	1	0
204	1	0
205	1	1
206	1	1
207	1	1
208	1	1
210	1	1
211	1	1
212	1	1
213	1	1
